"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U300";"DDR3_BGA-96";1;"DDR3_FBGA96";;;
2;"U100";"RK3308_TFBGA-355";1;"RK3308";;;
3;"J800,J801";"USB_Micro-B_Molex-105164-0001";2;"Molex 105164-0001";;;
4;"U220,U230";"U-DFN2020-6";2;"PAM2305CGFADJ";;;
5;"L500";"L_0402";1;"L";;;
6;"F229,F269";"L_0402";2;"180R,1.5A";;;
7;"U830";"ATECC_UDFN8";1;"ATECC608A-MAHDA";;;
8;"Y100";"Crystal_SMD_2016-4pin_2.0x1.6mm";1;"24MHz,12pF,10ppm";;;
9;"Y520";"Crystal_SMD_2016-4pin_2.0x1.6mm";1;"37.4MHz,9pF,10ppm";;;
10;"RP2";"OVAL_PIN";1;"2";;;
11;"LP3";"OVAL_PIN";1;"A0";;;
12;"LP31";"OVAL_PIN";1;"A1";;;
13;"LP4";"OVAL_PIN";1;"A2";;;
14;"LP41";"OVAL_PIN";1;"A3";;;
15;"LP9";"OVAL_PIN";1;"DM";;;
16;"LP10";"OVAL_PIN";1;"DP";;;
17;"LP8";"OVAL_PIN";1;"5V";;;
18;"LP7,RP14,LP2";"OVAL_PIN";3;"G";;;
19;"LP1";"OVAL_PIN";1;"3V3";;;
20;"RP11";"OVAL_PIN";1;"11";;;
21;"RP12";"OVAL_PIN";1;"12";;;
22;"RP13";"OVAL_PIN";1;"13";;;
23;"LP5";"OVAL_PIN";1;"D19";;;
24;"LP6";"OVAL_PIN";1;"D20";;;
25;"RP1";"OVAL_PIN";1;"1";;;
26;"RP3";"OVAL_PIN";1;"3";;;
27;"RP4";"OVAL_PIN";1;"4";;;
28;"RP5";"OVAL_PIN";1;"5";;;
29;"RP6";"OVAL_PIN";1;"6";;;
30;"RP7";"OVAL_PIN";1;"7";;;
31;"RP8";"OVAL_PIN";1;"8";;;
32;"RP9";"OVAL_PIN";1;"9";;;
33;"RP10";"OVAL_PIN";1;"10";;;
34;"U500";"AP6255_QFP_44";1;"ap6255";;;
35;"L220,L230";"L_0806";2;"2.2u";;;
36;"U200,U250";"SOT-23-5";2;"SY8089AAC";;;
37;"U260";"XDFN4";1;"NCP707CMX180TCG";;;
38;"D810,D820,D800";"SOT-883";3;"PESDUC3FD5VU";;;
39;"C251,C253,C201,C231,C254,C221";"C_0805";6;"10u,10V";;;
40;"C510,C540,C225,C350,C400,C410,C233,C223,C300,C301,C511,C302";"C_0603";12;"10u";;;
41;"C205,C203,C204";"C_0603";3;"22u";;;
42;"C500,C501";"C_0402";2;"C";;;
43;"C520,C521";"C_0402";2;"15p";;;
44;"C232,C202,C222,C340,C252";"C_0402";5;"100p";;;
45;"C210";"C_0402";1;"10n";;;
46;"C310,C311,C312,C313,C314,C315,C316,C317,C318,C319,C320,C321,C322,C323,C330,C206,C207,C255,C257,C226,C351,C352,C265,C269,C229,C110,C402,C401,C411,C406,C200,C324,C325,C326";"C_0402";34;"0.1u";;;
47;"C332,C331";"C_0402";2;"1n";;;
48;"C208,C405";"C_0402";2;"2.2u";;;
49;"C256,C258";"C_0402";2;"0.47u";;;
50;"C101,C100";"C_0402";2;"22p";;;
51;"C420,C830,C260,C261,C530";"C_0402";5;"1u";;;
52;"R830,R831";"R_0402";2;"4.7k";;;
53;"R232,R203,R223";"R_0402";3;"150k,1%";;;
54;"R233,R202";"R_0402";2;"100k,1%";;;
55;"R210";"R_0402";1;"169k,1%";;;
56;"R211";"R_0402";1;"10k,1%";;;
57;"R212";"R_0402";1;"27k,1%";;;
58;"R213";"R_0402";1;"12k,1%";;;
59;"R110";"R_0402";1;"10k";;;
60;"R50";"R_0402";1;"240R, 1%";;;
61;"R330,R331";"R_0402";2;"1k,1%";;;
62;"R340,R341";"R_0402";2;"49.9R,1%";;;
63;"R410";"R_0402";1;"2.2k";;;
64;"R805";"R_0402";1;"133R,1%";;;
65;"R100,R400,R811,R810,R800,R801,R812,R813,R820,R821";"R_0402";10;"22R";;;
66;"R700,R701";"R_0402";2;"51k,1%";;;
67;"R222";"R_0402";1;"110k,1%";;;
68;"R252";"R_0402";1;"540k,1%";;;
69;"R253";"R_0402";1;"120k,1%";;;
70;"U400";"BGA-153_14x14_11.5x13.0mm";1;"EMMC_BGA_153";;;
71;"L200,L540,L250";"L_1008";3;"2.2u";;;
72;"TP100,TP101";"TP08";2;"TestPoint";;;
73;"ANT1";"LA52H2450_5500_A28";1;"ANT_LA52H2450_5500_A28";;;
